Name,Breed,Color,Sex,Size,DateOfBirth,IntakeDate,OutcomeDate,DaysinShelter,IntakeType,OutcomeType
SKY,GERM SHEPHERD,BLACK/TAN,Female,MED,,01/19/2020,01/23/2020,4,STRAY,RETURN TO OWNER
COCO,BEAGLE,TRICOLOR,Neutered,SMALL,6/4/2015,08/30/2017,4/10/2017,35,STRAY,TRANSFER
SUZIE,LABRADOR RETR/MIX,BLACK,Spayed,LARGE,01/23/2011,7/1/2015,01/24/2015,17,STRAY,ADOPTION
BUBBLES,FOX TERR SMOOTH/MIX,TAN,Male,SMALL,04/28/2017,03/20/2020,03/20/2020,0,OWNER SURRENDER,TRANSFER
OSO,GERM SHEPHERD,BROWN/BLACK,Male,LARGE,01/22/2017,01/22/2020,01/23/2020,1,STRAY,RETURN TO OWNER
SHERMAN,PIT BULL,TAN/WHITE,Male,MED,12/27/2018,03/13/2020,03/20/2020,7,CONFISCATE,RETURN TO OWNER
DAISY MAY,PARSON RUSS TER,WHITE/RED,Spayed,MED,06/30/2014,10/30/2018,3/11/2018,4,STRAY,RETURN TO OWNER
*HANZ,GERM SHEPHERD,BLACK/TAN,Neutered,LARGE,11/12/2007,11/12/2019,01/30/2020,50,STRAY,TRANSFER
FRANKIE,BOSTON TERRIER,BLACK/WHITE,Female,TOY,11/8/2016,01/29/2020,01/30/2020,1,STRAY,RETURN TO OWNER
DAISY MAY,PARSON RUSS TER,WHITE/RED,Spayed,MED,06/30/2014,4/11/2019,11/14/2019,10,STRAY,RETURN TO OWNER
HARAMBAE,PIT BULL,BLACK/WHITE,Neutered,MED,,01/29/2020,01/30/2020,1,STRAY,RETURN TO OWNER
CAPTAIN,PIT BULL/BORDER COLLIE,BLACK/WHITE,Neutered,SMALL,10/18/2018,9/1/2020,01/30/2020,21,OWNER SURRENDER,TRANSFER
DEMBAE,BORDER COLLIE,RED/WHITE,Neutered,MED,6/1/2018,01/29/2020,01/30/2020,1,STRAY,RETURN TO OWNER
*BUTCH,PUG/MIX,BROWN,Neutered,SMALL,2/7/2014,6/6/2015,07/28/2015,52,STRAY,ADOPTION
REX,GERM SHEPHERD,TAN,Neutered,MED,04/20/2014,12/14/2019,12/17/2019,3,STRAY,RETURN TO OWNER
HUTCH,LABRADOR RETR,YELLOW,Male,MED,,10/30/2019,10/31/2019,1,STRAY,RETURN TO OWNER
ROSIE,GERM SHEPHERD/BLACK/TAN HOUND,BLACK/TAN,Spayed,LARGE,01/23/2014,01/17/2020,01/30/2020,13,OWNER SURRENDER,TRANSFER
LOBO,GERM SHEPHERD/GREAT PYRENEES,BLACK/TAN,Neutered,X-LRG,1/10/2012,10/1/2017,11/2/2017,32,STRAY,ADOPTION
SPYROLL,PIT BULL/MIX,CHOCOLATE/WHITE,Neutered,MED,01/22/2017,2/1/2020,01/24/2020,22,STRAY,ADOPTION
AZURA,ALASKAN HUSKY,WHITE/GRAY,Spayed,MED,3/8/2018,5/1/2019,5/1/2019,0,STRAY,RETURN TO OWNER
