,PrimaryColor,BreedCategory,IntakeStatus,PetAgeCategory,Sex,TopBreed,BinaryOutcome
4,10,1,1,3,1,18,0
51,0,0,1,3,0,5,1
69,7,0,1,3,1,13,1
99,10,1,1,1,0,15,1
103,0,1,4,3,1,18,0
106,10,0,1,1,0,17,0
209,3,1,2,2,0,18,0
223,3,0,1,3,1,17,0
227,0,0,0,3,1,4,0
247,2,0,1,0,0,17,0
274,0,2,1,3,0,15,0
339,0,0,4,3,1,15,0
345,10,0,1,0,1,17,0
350,3,0,1,1,1,12,0
419,7,1,1,0,1,17,1
429,7,0,2,2,1,17,0
433,0,1,2,2,0,15,0
496,7,1,1,2,1,13,1
517,3,1,1,1,1,18,0
520,0,1,1,3,0,4,0
541,3,0,1,1,0,12,0
600,2,0,1,0,1,18,0
656,0,2,1,0,1,15,0
683,10,2,1,3,0,14,0
755,0,0,0,3,1,21,0
813,3,1,1,3,1,18,0
849,10,1,1,3,0,18,0
887,0,0,1,3,1,15,0
928,3,0,1,1,1,17,1
1011,7,1,0,3,1,18,0
1018,0,1,1,1,1,7,0
1021,7,2,1,3,1,17,1
1028,3,0,1,0,1,8,0
1111,3,0,1,0,0,18,0
1140,3,1,2,2,0,17,0
1157,7,1,1,0,1,17,1
1161,10,1,1,0,0,4,1
1177,2,1,2,3,0,18,0
1190,10,0,1,3,0,17,1
1205,0,1,2,3,1,15,0
1228,2,0,2,3,1,17,0
1230,0,2,1,1,0,12,0
1253,0,2,1,1,0,22,0
1331,3,0,2,1,1,8,0
1347,10,1,1,3,0,17,1
1379,0,1,1,0,0,15,0
1391,0,0,1,1,1,15,0
1397,0,0,0,0,0,15,0
1398,10,1,2,3,0,18,0
1407,10,0,2,2,0,17,0
1411,5,1,1,3,1,25,0
1412,7,0,1,3,0,19,1
1438,5,1,0,3,1,18,0
1447,0,0,1,1,1,15,0
1486,3,1,0,0,1,18,0
1531,0,1,2,0,1,18,0
1559,3,1,1,3,1,6,0
1561,0,1,4,3,1,17,0
1623,3,1,1,3,0,18,0
1633,3,1,1,3,1,18,0
1656,11,0,2,2,0,15,0
1666,3,2,1,1,1,12,1
1685,10,1,0,0,0,7,0
1689,2,2,1,3,1,17,0
1724,0,1,1,0,1,22,0
1779,0,1,2,2,1,17,0
1783,9,0,1,0,1,4,1
1785,7,1,0,0,1,1,0
1803,0,2,1,0,0,23,1
1807,0,1,4,3,1,18,0
1837,7,0,2,2,0,15,0
1871,0,1,1,3,0,15,1
1886,3,1,1,2,0,17,0
1935,0,0,0,3,0,8,0
1968,3,1,1,3,1,15,0
1973,3,2,2,2,0,18,0
2013,3,1,1,3,1,15,0
2043,0,0,1,1,1,3,1
2056,3,0,1,3,1,12,0
2066,1,1,1,0,0,17,0
2095,9,0,1,1,1,4,1
2096,0,2,1,3,1,17,0
2098,7,0,1,0,1,12,0
2103,0,1,2,2,1,22,0
2143,1,1,1,0,0,17,0
2184,0,1,2,3,1,18,0
2216,10,2,1,1,0,14,0
2227,0,1,2,3,1,22,0
2235,9,1,1,1,0,4,1
2252,3,2,1,0,1,17,0
2259,0,1,4,1,1,18,0
2320,0,1,1,3,0,24,1
2323,9,0,0,3,0,25,0
2363,0,1,1,1,0,18,0
2370,10,0,1,0,1,17,1
2409,3,1,2,2,1,22,0
2414,0,2,0,0,0,12,0
2456,7,2,1,2,0,15,0
2492,2,0,0,3,1,6,0
2498,3,0,1,3,1,6,0
2541,9,2,2,2,0,17,0
2568,0,0,1,3,0,15,0
2592,1,1,4,3,0,18,0
2602,3,1,1,0,1,18,0
2610,10,0,1,3,1,1,0
2618,0,1,1,2,1,15,0
2630,1,1,1,0,1,20,1
2634,0,1,4,1,1,15,0
2636,0,1,1,3,0,17,1
2677,1,1,1,2,0,18,0
2688,3,0,1,0,1,4,1
2691,0,0,1,1,1,15,1
2693,3,0,1,3,0,4,1
2721,0,1,0,3,1,18,0
2723,0,1,0,0,1,15,0
2726,9,0,1,0,0,4,0
2736,0,2,1,1,1,8,0
2740,11,2,1,0,0,15,1
2766,3,0,1,2,0,15,0
2769,0,0,1,3,1,15,0
2788,7,1,1,0,1,26,0
2810,3,2,0,3,1,18,0
2869,7,1,1,0,0,18,0
2917,3,0,1,1,0,19,0
2947,3,1,1,1,1,18,0
3003,0,2,0,3,1,0,0
3008,0,1,1,0,1,16,1
3033,5,1,1,3,1,18,0
3038,0,1,0,2,1,5,0
3050,10,1,4,0,0,18,0
3091,0,0,2,2,1,5,0
3099,3,1,4,3,1,18,0
3102,3,0,4,1,1,7,0
3132,0,1,4,0,0,17,0
3135,0,1,2,2,1,22,0
3138,7,1,1,3,1,18,0
3143,7,2,4,3,0,6,0
3146,7,1,1,3,0,6,0
3148,0,1,1,0,1,12,1
3153,0,2,4,2,1,12,0
3155,3,0,4,1,0,12,0
3156,0,0,1,0,1,15,0
3165,3,1,1,3,1,15,0
3171,10,0,1,3,0,5,1
3172,1,1,1,0,0,18,0
3175,2,1,1,1,0,18,0
3181,5,0,1,3,1,18,0
3193,10,1,4,0,1,19,0
3208,3,1,1,0,0,18,0
3246,7,1,2,2,1,9,0
3263,3,2,1,3,0,8,0
3271,3,1,1,0,0,6,0
3277,7,0,1,3,1,17,0
3284,0,1,1,1,0,15,0
3312,3,2,1,1,1,6,1
3317,0,1,1,0,1,18,0
3318,0,0,1,1,0,17,0
3319,2,0,1,0,1,7,1
3320,10,2,1,3,0,0,1
3371,7,0,1,0,1,21,1
3409,3,1,1,3,0,25,1
3419,2,0,1,1,1,18,0
3428,10,0,1,3,1,17,0
3432,0,1,0,0,1,4,0
3435,0,0,1,0,1,17,0
3436,10,0,1,0,1,14,0
3437,1,1,1,0,1,1,0
3439,7,0,4,2,0,8,0
