Pet_ageMonths,Breed_primary,Breed_secondary,Color,Outcome_Type,Outcome_Rating,Fixed,Sex,pet_id
2.0,Yorkshire Terrier,Rat Terrier,Tricolor,Adoption,Positive,Neutered,Male,1
2.0,Yorkshire Terrier,Rat Terrier,Tricolor,Adoption,Positive,Spayed,Female,2
2.0,Yorkshire Terrier,Rat Terrier,Tricolor,Adoption,Positive,Spayed,Female,3
24.0,Yorkshire Terrier,Pomeranian,Cream/Red,Adoption,Positive,Neutered,Male,4
36.0,Yorkshire Terrier,Parson Russell Terrier,Blue/Tan,Adoption,Positive,Neutered,Male,5
48.0,Yorkshire Terrier,Norfolk Terrier,Tan,Adoption,Positive,Spayed,Female,6
11.0,Yorkshire Terrier,Miniature Schnauzer,Gray/Tan,Adoption,Positive,Neutered,Male,7
24.0,Yorkshire Terrier,Miniature Schnauzer,Brown/Gray,Adoption,Positive,Neutered,Male,8
24.0,Yorkshire Terrier,Miniature Schnauzer,Gray,Adoption,Positive,Neutered,Male,9
60.0,Yorkshire Terrier,Miniature Schnauzer,Gray,Adoption,Positive,Spayed,Female,10
48.0,Yorkshire Terrier,Miniature Poodle,Black/Brown,Adoption,Positive,Neutered,Male,11
36.0,Yorkshire Terrier,Miniature Poodle,Gray,Adoption,Positive,Neutered,Male,12
12.0,Yorkshire Terrier,Miniature Poodle,Gray,Adoption,Positive,Spayed,Female,13
24.0,Yorkshire Terrier,Miniature Poodle,Tan/Silver,Adoption,Positive,Spayed,Female,14
48.0,Yorkshire Terrier,Miniature Poodle,Black,Adoption,Positive,Spayed,Female,15
36.0,Yorkshire Terrier,Maltese,White/Gray,Adoption,Positive,Spayed,Female,16
2.0,Yorkshire Terrier,Chihuahua Shorthair,Brown,Adoption,Positive,Neutered,Male,17
12.0,Yorkshire Terrier,Chihuahua Shorthair,Black/Tan,Adoption,Positive,Neutered,Male,18
36.0,Yorkshire Terrier,Chihuahua Shorthair,Tricolor/Black,Adoption,Positive,Neutered,Male,19
4.0,Yorkshire Terrier,Chihuahua Shorthair,Tan/Silver,Adoption,Positive,Spayed,Female,20
2.0,Yorkshire Terrier,Chihuahua Shorthair,Tan/Black,Adoption,Positive,Spayed,Female,21
24.0,Yorkshire Terrier,Chihuahua Shorthair,White,Adoption,Positive,Spayed,Female,22
36.0,Yorkshire Terrier,Chihuahua Shorthair,Brown/Black,Adoption,Positive,Spayed,Female,23
12.0,Yorkshire Terrier,Chihuahua Longhair,White/Tan,Adoption,Positive,Neutered,Male,24
12.0,Yorkshire Terrier,Chihuahua Longhair,Brown/Tricolor,Adoption,Positive,Neutered,Male,25
12.0,Yorkshire Terrier,Cairn Terrier,Tan,Adoption,Positive,Neutered,Male,26
24.0,Yorkshire Terrier,Cairn Terrier,Tan/Gray,Adoption,Positive,Neutered,Male,27
24.0,Yorkshire Terrier,Cairn Terrier,Black/Brown,Adoption,Positive,Neutered,Male,28
48.0,Yorkshire Terrier,Cairn Terrier,Brown/Black,Adoption,Positive,Spayed,Female,29
10.0,Yorkshire Terrier,Bruss Griffon,Sable,Adoption,Positive,Spayed,Female,30
24.0,Yorkshire Terrier,Border Terrier,Tan/White,Adoption,Positive,Spayed,Female,31
12.0,Yorkshire Terrier Mix,,Buff/Tan,Adoption,Positive,Intact,Male,32
1.0,Yorkshire Terrier Mix,,White,Adoption,Positive,Neutered,Male,33
