,PrimaryColor,PrimaryBreed,IntakeInternalStatus,ReproductiveStatusAtIntake,BreedCategory,Pet_age_category,BinaryOutcome,Sex
4,WHITE,PIT BULL TERRIER,NORMAL,FERTILE,Pure,Young,Deny,Male
51,BLACK,BORDER COLLIE,NORMAL,ALTERED,Mix,Young,Take,Female
69,TAN,GOLDEN RETRIEVER,NORMAL,ALTERED,Mix,Young,Take,Male
99,WHITE,LABRADOR RETRIEVER,NORMAL,ALTERED,Pure,Baby,Take,Female
103,BLACK,PIT BULL TERRIER,SICK,FERTILE,Pure,Young,Deny,Male
106,WHITE,ST BERNARD - SMOOTH COATED,NORMAL,FERTILE,Mix,Baby,Deny,Female
209,BROWN,PIT BULL TERRIER,AGED,FERTILE,Pure,Senior,Deny,Female
223,BROWN,WIRE-HAIRED POINTING GRIFFON,NORMAL,FERTILE,Mix,Young,Deny,Male
227,BLACK,BEAGLE,AGGRESSIVE,FERTILE,Mix,Young,Deny,Male
247,BROWN BRINDLE,PLOTT HOUND,NORMAL,ALTERED,Mix,Adult,Deny,Female
274,BLACK,LABRADOR RETRIEVER,NORMAL,FERTILE,Two,Young,Deny,Female
339,BLACK,LABRADOR RETRIEVER,SICK,FERTILE,Mix,Young,Deny,Male
345,WHITE,BICHON FRISE,NORMAL,ALTERED,Mix,Adult,Deny,Male
350,BROWN,GERMAN SHEPHERD DOG,NORMAL,FERTILE,Mix,Baby,Deny,Male
419,TAN,TIBETAN TERRIER,NORMAL,ALTERED,Pure,Adult,Take,Male
429,TAN,SHETLAND SHEEPDOG,AGED,ALTERED,Mix,Senior,Deny,Male
433,BLACK,LABRADOR RETRIEVER,AGED,FERTILE,Pure,Senior,Deny,Female
496,TAN,GOLDEN RETRIEVER,NORMAL,ALTERED,Pure,Senior,Take,Male
517,BROWN,PIT BULL TERRIER,NORMAL,FERTILE,Pure,Baby,Deny,Male
520,BLACK,BEAGLE,NORMAL,ALTERED,Pure,Young,Deny,Female
541,BROWN,GERMAN SHEPHERD DOG,NORMAL,FERTILE,Mix,Baby,Deny,Female
600,BROWN BRINDLE,PIT BULL TERRIER,NORMAL,FERTILE,Mix,Adult,Deny,Male
