PrimaryColor,PrimaryBreed,IntakeInternalStatus,IntakeAsilomarStatus,ReproductiveStatusAtIntake,OutcomeType,AgeInMonths,DurationInShelter,BreedCategory,Pet_age_category,Binary_outcome,Sex,pet_id
WHITE,PIT BULL TERRIER,NORMAL,HEALTHY,FERTILE,EUTH,12.17,29.0,Pure,Young,Deny,Male,1
BLACK,BORDER COLLIE,NORMAL,HEALTHY,ALTERED,ADOPTION,10.17,108.0,Mix,Young,Take,Female,2
TAN,GOLDEN RETRIEVER,NORMAL,HEALTHY,ALTERED,ADOPTION,23.43,56.0,Mix,Young,Take,Male,3
WHITE,LABRADOR RETRIEVER,NORMAL,HEALTHY,ALTERED,ADOPTION,0.17,183.0,Pure,Baby,Take,Female,4
BLACK,PIT BULL TERRIER,SICK,HEALTHY,FERTILE,EUTH,11.9,0.0,Pure,Young,Deny,Male,5
WHITE,ST BERNARD - SMOOTH COATED,NORMAL,HEALTHY,FERTILE,TRANSFER,3.03,5.0,Mix,Baby,Deny,Female,6
BROWN,PIT BULL TERRIER,AGED,TREATABLE/MANAGEABLE,FERTILE,EUTH,109.57,8.0,Pure,Senior,Deny,Female,7
BROWN,WIRE-HAIRED POINTING GRIFFON,NORMAL,HEALTHY,FERTILE,TRANSFER,11.87,60.0,Mix,Young,Deny,Male,8
BLACK,BEAGLE,AGGRESSIVE,UNHEALTHY/UNTREATABLE,FERTILE,EUTH,12.17,0.0,Mix,Young,Deny,Male,9
BROWN BRINDLE,PLOTT HOUND,NORMAL,HEALTHY,ALTERED,FOSTER,25.83,154.0,Mix,Adult,Deny,Female,10
BLACK,LABRADOR RETRIEVER,NORMAL,HEALTHY,FERTILE,TRANSFER,12.2,-113.0,Two,Young,Deny,Female,11
BLACK,LABRADOR RETRIEVER,SICK,HEALTHY,FERTILE,EUTH,6.03,0.0,Mix,Young,Deny,Male,12
WHITE,BICHON FRISE,NORMAL,HEALTHY,ALTERED,TRANSFER,74.77,-51.0,Mix,Adult,Deny,Male,13
BROWN,GERMAN SHEPHERD DOG,NORMAL,HEALTHY,FERTILE,EUTH,2.03,127.0,Mix,Baby,Deny,Male,14
TAN,TIBETAN TERRIER,NORMAL,HEALTHY,ALTERED,ADOPTION,24.17,-16.0,Pure,Adult,Take,Male,15
TAN,SHETLAND SHEEPDOG,AGED,UNHEALTHY/UNTREATABLE,ALTERED,EUTH,182.83,0.0,Mix,Senior,Deny,Male,16
BLACK,LABRADOR RETRIEVER,AGED,TREATABLE/MANAGEABLE,FERTILE,FOSTER,146.1,250.0,Pure,Senior,Deny,Female,17
TAN,GOLDEN RETRIEVER,NORMAL,HEALTHY,ALTERED,ADOPTION,85.07,4.0,Pure,Senior,Take,Male,18
BROWN,PIT BULL TERRIER,NORMAL,HEALTHY,FERTILE,TRANSFER,0.57,20.0,Pure,Baby,Deny,Male,19
BLACK,BEAGLE,NORMAL,HEALTHY,ALTERED,MISSING,6.37,85.0,Pure,Young,Deny,Female,20
BROWN,GERMAN SHEPHERD DOG,NORMAL,HEALTHY,FERTILE,EUTH,2.03,5.0,Mix,Baby,Deny,Female,21
BROWN BRINDLE,PIT BULL TERRIER,NORMAL,UNHEALTHY/UNTREATABLE,FERTILE,EUTH,24.33,0.0,Mix,Adult,Deny,Male,22
BLACK,LABRADOR RETRIEVER,NORMAL,HEALTHY,FERTILE,EUTH,24.33,7.0,Two,Adult,Deny,Male,23
WHITE,JACK RUSS TER,NORMAL,HEALTHY,FERTILE,TRANSFER,12.17,-55.0,Two,Young,Deny,Female,24
BLACK,PUG,AGGRESSIVE,UNHEALTHY/UNTREATABLE,FERTILE,EUTH,12.17,1.0,Mix,Young,Deny,Male,25
BROWN,PIT BULL TERRIER,NORMAL,HEALTHY,ALTERED,RELEASED,10.13,0.0,Pure,Young,Deny,Male,26
WHITE,AMERICAN PIT BULL TERRIER,NORMAL,HEALTHY,FERTILE,EUTH,12.1,-172.0,Pure,Young,Deny,Female,27
BROWN,PIT BULL TERRIER,NURSING,HEALTHY,FERTILE,TRANSFER,0.0,77.0,Pure,,Deny,Male,28
BLACK,LABRADOR RETRIEVER,NORMAL,HEALTHY,ALTERED,TRANSFER,18.23,3.0,Mix,Young,Deny,Male,29
CHOCOLATE,MANCHESTER TERRIER,NORMAL,HEALTHY,ALTERED,ADOPTION,4.07,99.0,Mix,Baby,Take,Male,30
TAN,PIT BULL TERRIER,FEARFUL,HEALTHY,FERTILE,EUTH,18.2,0.0,Pure,Young,Deny,Male,31
BLACK,CHIHUAHUA - SMOOTH COATED,NORMAL,HEALTHY,FERTILE,TRANSFER,2.03,3.0,Pure,Baby,Deny,Male,32
TAN,PEKINGESE,NORMAL,HEALTHY,ALTERED,ADOPTION,11.13,28.0,Two,Young,Take,Male,33
BROWN,CHOW CHOW,NORMAL,HEALTHY,FERTILE,EUTH,48.7,-167.0,Mix,Adult,Deny,Male,34
BROWN,PIT BULL TERRIER,NORMAL,HEALTHY,ALTERED,RELEASED,24.37,2.0,Mix,Adult,Deny,Female,35
BROWN,PARSON (JACK) RUSSELL TERRIER,AGED,TREATABLE/MANAGEABLE,ALTERED,EUTH,185.47,0.0,Pure,Senior,Deny,Female,36
TAN,IRISH TERRIER,NORMAL,HEALTHY,FERTILE,ADOPTION,33.07,-232.0,Pure,Adult,Take,Male,37
WHITE,BEAGLE,NORMAL,HEALTHY,ALTERED,ADOPTION,24.33,97.0,Pure,Adult,Take,Female,38
BROWN BRINDLE,AMERICAN PIT BULL TERRIER,DEAD,HEALTHY,FERTILE,EUTH,12.17,0.0,Pure,Young,Deny,Female,39
WHITE,PARSON (JACK) RUSSELL TERRIER,NORMAL,HEALTHY,FERTILE,ADOPTION,8.83,273.0,Mix,Young,Take,Female,40
BLACK,LABRADOR RETRIEVER,OTHER,HEALTHY,FERTILE,EUTH,12.17,10.0,Pure,Young,Deny,Male,41
BROWN BRINDLE,BASSET HOUND,DEAD,HEALTHY,FERTILE,DISPOSAL,12.57,22.0,Mix,Young,Deny,Male,42
BLACK,GERMAN SHEPHERD DOG,NORMAL,HEALTHY,FERTILE,EUTH,2.03,10.0,Two,Baby,Deny,Female,43
BLACK,ROTTWEILER,NORMAL,HEALTHY,FERTILE,EUTH,2.0,7.0,Two,Baby,Deny,Female,44
