,AnimalID,Name,DateTime,OutcomeType,OutcomeSubtype,AnimalType,SexuponOutcome,AgeuponOutcome,Breed,Color
0,A671945,Hambone,2014-02-12 18:22:00,Return_to_owner,,Dog,Neutered Male,1 year,Shetland Sheepdog Mix,Brown/White
2,A686464,Pearce,2015-01-31 12:28:00,Adoption,Foster,Dog,Neutered Male,2 years,Pit Bull Mix,Blue/White
4,A667013,,2013-11-15 12:52:00,Transfer,Partner,Dog,Neutered Male,2 years,Lhasa Apso/Miniature Poodle,Tan
5,A677334,Elsa,2014-04-25 13:04:00,Transfer,Partner,Dog,Intact Female,1 month,Cairn Terrier/Chihuahua Shorthair,Black/Tan
8,A671784,Lucy,2014-02-04 17:17:00,Adoption,,Dog,Spayed Female,5 months,American Pit Bull Terrier Mix,Red/White
9,A677747,,2014-05-03 07:48:00,Adoption,Offsite,Dog,Spayed Female,1 year,Cairn Terrier,White
11,A666320,,2013-11-04 14:48:00,Adoption,,Dog,Spayed Female,2 years,Miniature Schnauzer Mix,Silver
12,A684601,Rocket,2016-02-03 11:27:00,Adoption,Foster,Dog,Neutered Male,4 years,Pit Bull Mix,Brown
13,A704702,Scooter,2015-06-08 16:30:00,Return_to_owner,,Dog,Neutered Male,2 years,Yorkshire Terrier Mix,Black/Red
14,A688584,Preston,2015-11-25 15:00:00,Return_to_owner,,Dog,Neutered Male,1 year,Great Pyrenees Mix,White/Cream
17,A680028,,2014-06-07 12:54:00,Transfer,Partner,Dog,Intact Female,2 weeks,Pit Bull Mix,Brown/White
19,A684787,Kuma,2014-07-30 17:34:00,Return_to_owner,,Dog,Neutered Male,1 year,Flat Coat Retriever Mix,Black
20,A670658,Anders,2014-01-19 15:03:00,Transfer,Partner,Dog,Intact Male,2 months,Queensland Heeler Mix,Black/White
22,A705262,Jamaica,2015-08-15 14:22:00,Adoption,,Dog,Spayed Female,2 years,Plott Hound/Boxer,Brown Brindle/White
23,A665781,Quattro,2013-10-28 16:32:00,Adoption,,Dog,Neutered Male,10 months,German Shepherd Mix,Brown/White
24,A676333,Trigger,2014-04-09 17:44:00,Return_to_owner,,Dog,Neutered Male,2 months,German Shepherd Mix,Black/Brown
26,A718832,Nia,2016-01-15 17:31:00,Adoption,,Dog,Spayed Female,6 months,American Staffordshire Terrier Mix,Chocolate/White
27,A698777,Chloe,2015-03-25 18:50:00,Adoption,,Dog,Spayed Female,5 years,Chihuahua Shorthair Mix,White/Tan
31,A707341,Murphy,2015-07-15 15:25:00,Transfer,Partner,Dog,Intact Male,4 months,Labrador Retriever Mix,Black/White
33,A666825,Jesse,2013-11-08 13:24:00,Return_to_owner,,Dog,Neutered Male,5 years,Collie Smooth/German Shepherd,Brown/Black
34,A699723,Delgado,2015-04-11 16:01:00,Transfer,Partner,Dog,Neutered Male,3 years,Chihuahua Shorthair Mix,Brown
35,A668626,,2013-12-06 14:55:00,Euthanasia,Suffering,Dog,Intact Male,3 years,Labrador Retriever Mix,Yellow
36,A657085,Pony Boy,2013-10-24 11:22:00,Return_to_owner,,Dog,Neutered Male,3 years,Pit Bull Mix,Brown/White
45,A686716,Chester,2014-08-27 07:50:00,Return_to_owner,,Dog,Neutered Male,12 years,Beagle,Tricolor
48,A697852,Edith,2015-03-09 17:57:00,Adoption,,Dog,Spayed Female,5 months,German Shepherd Mix,Black/Brown
49,A666092,,2013-10-30 15:37:00,Euthanasia,Aggressive,Dog,Intact Male,6 years,Pit Bull/Labrador Retriever,Chocolate/White
53,A701627,Gabe,2015-05-14 12:07:00,Adoption,,Dog,Neutered Male,2 years,Blue Lacy Mix,Gray/White
57,A683443,,2014-07-18 16:23:00,Transfer,Partner,Dog,Intact Male,1 year,Chihuahua Shorthair Mix,Tan
58,A597644,Lola,2014-09-16 14:05:00,Return_to_owner,,Dog,Spayed Female,4 years,Black Mouth Cur Mix,Tan/Black
59,A682784,Sugar,2014-07-07 12:38:00,Adoption,,Dog,Neutered Male,2 years,Dachshund/Beagle,Brown/White
61,A678506,Prec Punkin',2014-05-09 18:07:00,Euthanasia,Suffering,Dog,Spayed Female,11 years,Yorkshire Terrier Mix,Brown/Black
63,A712236,Bella,2015-09-23 11:45:00,Adoption,,Dog,Spayed Female,2 years,Dachshund Mix,Tan/White
65,A714740,Chiquita,2015-10-27 18:32:00,Return_to_owner,,Dog,Spayed Female,6 years,Maltese Mix,White
66,A691847,Hero,2014-12-08 15:53:00,Transfer,Partner,Dog,Neutered Male,6 months,Pointer Mix,Black/White
67,A711392,Molly,2015-09-08 15:31:00,Transfer,Partner,Dog,Intact Female,2 months,English Foxhound,Buff
69,A678172,Bella,2014-05-10 18:18:00,Adoption,,Dog,Spayed Female,1 year,Chihuahua Shorthair Mix,Red
70,A676736,Chili,2014-04-30 17:55:00,Adoption,,Dog,Neutered Male,2 months,Vizsla Mix,Brown
71,A701575,Hastings,2016-01-29 14:53:00,Transfer,Partner,Dog,Neutered Male,2 years,Pit Bull Mix,Brown Brindle/White
72,A674913,,2014-03-25 18:15:00,Adoption,,Dog,Spayed Female,3 years,German Shepherd/Great Pyrenees,White
74,A669540,Snookie,2013-12-28 16:17:00,Return_to_owner,,Dog,Spayed Female,4 years,Yorkshire Terrier Mix,Blue/Tan
75,A709371,Abby,2015-08-19 14:28:00,Transfer,Partner,Dog,Spayed Female,2 years,Cardigan Welsh Corgi/Chihuahua Shorthair,Tan
78,A704179,Zeus,2015-06-07 16:07:00,Adoption,,Dog,Neutered Male,2 months,Chow Chow/Pit Bull,Black
80,A700740,Charlie,2015-12-17 12:10:00,Adoption,Foster,Dog,Neutered Male,1 year,Chihuahua Shorthair,White
84,A691838,Avaddon,2015-02-09 17:17:00,Euthanasia,Suffering,Dog,Neutered Male,12 years,Pit Bull Mix,Brown Brindle
85,A687789,,2014-09-14 18:51:00,Adoption,,Dog,Neutered Male,1 year,Dachshund/Beagle,Brown/White
88,A677594,,2014-04-26 18:00:00,Transfer,Partner,Dog,Intact Female,3 months,Labrador Retriever Mix,Black/White
90,A717147,Freeway,2015-12-15 14:16:00,Adoption,,Dog,Neutered Male,5 months,Plott Hound Mix,Brown Brindle/White
91,A687012,Chloe,2016-02-07 14:54:00,Adoption,,Dog,Spayed Female,3 years,Boxer/Great Dane,Black
92,A676200,Georgia,2014-04-10 11:49:00,Transfer,Partner,Dog,Spayed Female,7 years,Lhasa Apso,White/Black
93,A676680,Hero,2015-02-06 18:56:00,Euthanasia,Aggressive,Dog,Spayed Female,2 years,German Shepherd Mix,Black/Tan
95,A715261,Darcy,2015-11-15 14:06:00,Adoption,,Dog,Spayed Female,9 years,Beagle/Treeing Walker Coonhound,White/Brown
96,A717008,Taz,2015-12-06 15:12:00,Transfer,Partner,Dog,Neutered Male,7 months,Border Collie Mix,Black/White
99,A695155,,2015-01-14 16:18:00,Adoption,,Dog,Neutered Male,3 years,Border Terrier Mix,Gray
100,A679721,Poppy,2014-05-29 17:43:00,Adoption,,Dog,Neutered Male,5 years,Chihuahua Shorthair Mix,Tan/White
101,A719113,Dexter,2016-01-28 12:05:00,Transfer,Partner,Dog,Neutered Male,5 years,Boxer Mix,Brown Brindle/White
105,A699990,Chubbs,2015-04-08 18:06:00,Return_to_owner,,Dog,Neutered Male,4 years,Cairn Terrier Mix,Tan/White
107,A668362,Minnie,2013-12-20 12:02:00,Return_to_owner,,Dog,Spayed Female,2 years,Chihuahua Shorthair Mix,Black/Tan
