,AgeuponOutcome,AnimalID,AnimalType,Breed,Color,DateTime,ID,Name,OutcomeSubtype,OutcomeType,SexuponOutcome
0,10 months,,Dog,Labrador Retriever Mix,Red/White,2015-10-12 12:15:00,1.0,Summer,,,Intact Female
1,2 years,,Dog,German Shepherd/Siberian Husky,Black/Tan,2014-07-26 17:59:00,2.0,Cheyenne,,,Spayed Female
3,4 months,,Dog,Collie Smooth Mix,Tricolor,2013-12-28 18:12:00,4.0,Pongo,,,Intact Male
4,2 years,,Dog,Miniature Poodle Mix,White,2015-09-24 17:59:00,5.0,Skooter,,,Neutered Male
5,3 years,,Dog,Beagle Mix,Brown/White,2015-06-23 11:17:00,6.0,Beau,,,Neutered Male
8,3 months,,Dog,Cairn Terrier,Black/Cream,2014-11-12 18:05:00,9.0,Ruby Grace,,,Spayed Female
9,1 year,,Dog,Pit Bull Mix,Brown/White,2014-04-07 17:41:00,10.0,Ruby,,,Spayed Female
10,5 months,,Dog,Labrador Retriever Mix,White/Black,2014-01-01 17:03:00,11.0,Marlee,,,Spayed Female
11,2 years,,Dog,Pit Bull Mix,Blue/White,2014-09-19 15:40:00,12.0,Lala,,,Intact Female
12,6 months,,Dog,Pit Bull Mix,Brown Brindle,2015-01-25 15:13:00,13.0,Chloe,,,Spayed Female
13,2 years,,Dog,Miniature Poodle Mix,White,2015-09-22 18:17:00,14.0,,,,Neutered Male
14,1 year,,Dog,Flat Coat Retriever/German Shepherd,Black/Brown,2014-07-20 19:24:00,15.0,Duffy,,,Neutered Male
15,4 months,,Dog,Pointer/Labrador Retriever,White,2014-03-26 18:33:00,16.0,Jiggy,,,Spayed Female
16,5 years,,Dog,Doberman Pinsch Mix,Black/Tan,2015-05-29 17:04:00,17.0,Ghengis,,,Neutered Male
17,3 years,,Dog,English Bulldog,White/Tricolor,2016-01-19 19:31:00,18.0,Decker,,,Neutered Male
22,1 year,,Dog,Norwich Terrier Mix,White/Tan,2014-06-07 14:14:00,23.0,Pluto,,,Neutered Male
24,1 year,,Dog,Black Mouth Cur/Boxer,Tan,2013-10-26 16:23:00,25.0,Portia,,,Spayed Female
27,2 months,,Dog,Norwich Terrier Mix,Brown,2015-03-19 08:33:00,28.0,,,,Intact Male
28,3 years,,Dog,Labrador Retriever Mix,Black/White,2014-10-09 17:22:00,29.0,Jack,,,Neutered Male
29,2 years,,Dog,Labrador Retriever Mix,Black,2014-05-13 17:03:00,30.0,Knight,,,Neutered Male
30,4 years,,Dog,Pomeranian Mix,Black/White,2015-05-05 15:13:00,31.0,,,,Spayed Female
