CSV_Age,Day_mth_year_cat,Pet_ageMonths,AnimalID,AnimalType,Breed,Color,DateTime,ID,Pet_Name,Outcome_Subtype,Outcome_Type,Pet_Sex
1,day,0.03,,Dog,Labrador Retriever Mix,Black/Brown,2/10/2014 14:36,918,,,,Unknown
1,day,0.03,,Dog,Chihuahua Shorthair Mix,Tricolor,30/1/2014 17:24,1543,,,,Intact Male
1,day,0.03,,Dog,Pit Bull Mix,White,17/3/2014 13:34,7180,,,,Intact Female
1,day,0.03,,Dog,Labrador Retriever Mix,Black/White,2/10/2014 14:36,7903,,,,Unknown
1,day,0.03,,Dog,Labrador Retriever Mix,Brown/Black,2/10/2014 14:36,8708,,,,Unknown
1,day,0.03,A674671,Dog,Pit Bull Mix,White/Black,17/3/2014 13:35,,,,Return_to_owner,Intact Male
1,day,0.03,A703721,Dog,Anatol Shepherd Mix,Tricolor,28/5/2015 13:27,,,Partner,Transfer,Unknown
1,day,0.03,A716794,Dog,Labrador Retriever Mix,White,25/11/2015 14:23,,,Partner,Transfer,Unknown
1,day,0.03,A689236,Dog,Labrador Retriever Mix,Black/White,2/10/2014 14:36,,,Partner,Transfer,Unknown
1,day,0.03,A703720,Dog,Anatol Shepherd Mix,Tricolor,28/5/2015 13:28,,,Partner,Transfer,Unknown
1,day,0.03,A674673,Dog,Pit Bull Mix,White/Brown Brindle,17/3/2014 13:36,,,,Return_to_owner,Intact Male
1,day,0.03,A674672,Dog,Pit Bull Mix,Brown Brindle/White,17/3/2014 13:35,,,,Return_to_owner,Intact Female
1,day,0.03,A674668,Dog,Pit Bull Mix,White/Brown Brindle,17/3/2014 13:34,,,,Return_to_owner,Intact Male
1,day,0.03,A674670,Dog,Pit Bull Mix,White/Brown,17/3/2014 13:34,,,,Return_to_owner,Intact Female
1,day,0.03,A689239,Dog,Labrador Retriever Mix,Sable,2/10/2014 14:36,,,Partner,Transfer,Unknown
1,day,0.03,A689238,Dog,Labrador Retriever Mix,Sable/Brown,2/10/2014 14:36,,,Partner,Transfer,Unknown
1,day,0.03,A674667,Dog,Pit Bull Mix,White/Brown,17/3/2014 13:33,,,,Return_to_owner,Intact Male
6,days,0.20,,Dog,Labrador Retriever Mix,Brown,6/3/2015 9:50,163,,,,Unknown
6,days,0.20,,Dog,Chihuahua Shorthair/Pit Bull,White,4/6/2015 18:53,228,,,,Unknown
2,days,0.07,,Dog,German Shepherd Mix,Brown/White,13/6/2015 15:47,830,,,,Intact Male
5,days,0.17,,Dog,American Bulldog Mix,White,31/5/2015 14:54,1186,,,,Intact Female
2,days,0.07,,Dog,Labrador Retriever Mix,Brown,31/5/2014 11:23,1657,,,,Intact Female
2,days,0.07,,Dog,German Shepherd Mix,Black/White,13/6/2015 15:18,2094,,,,Intact Male
4,days,0.13,,Dog,Chihuahua Shorthair Mix,Black/Tan,30/9/2014 12:14,2691,,,,Intact Female
4,days,0.13,,Dog,Chihuahua Shorthair Mix,Black,22/7/2014 10:51,3085,,,,Intact Female
2,days,0.07,,Dog,Pit Bull Mix,Blue/White,10/4/2015 16:21,3300,,,,Intact Male
2,days,0.07,,Dog,Dachshund Mix,Tan,7/6/2014 17:16,4149,,,,Unknown
2,days,0.07,,Dog,Pit Bull Mix,Blue/White,5/1/2014 15:12,4862,,,,Unknown
6,days,0.20,,Dog,Rat Terrier Mix,White,13/3/2015 16:06,5425,,,,Intact Female
6,days,0.20,,Dog,Chihuahua Longhair Mix,Tricolor,15/7/2014 18:24,6008,,,,Intact Male
