CSV_Age,Day_mth_year_cat,Pet_ageMonths,Breed,Color,Outcome_Type,Fixed,Sex
1,day,0.03,Labrador Retriever Mix,Black/Brown,,Unknown,
1,day,0.03,Chihuahua Shorthair Mix,Tricolor,,Intact,Male
1,day,0.03,Pit Bull Mix,White,,Intact,Female
1,day,0.03,Labrador Retriever Mix,Black/White,,Unknown,
1,day,0.03,Labrador Retriever Mix,Brown/Black,,Unknown,
1,day,0.03,Pit Bull Mix,White/Black,Return_to_owner,Intact,Male
1,day,0.03,Anatol Shepherd Mix,Tricolor,Transfer,Unknown,
1,day,0.03,Labrador Retriever Mix,White,Transfer,Unknown,
1,day,0.03,Labrador Retriever Mix,Black/White,Transfer,Unknown,
1,day,0.03,Anatol Shepherd Mix,Tricolor,Transfer,Unknown,
1,day,0.03,Pit Bull Mix,White/Brown Brindle,Return_to_owner,Intact,Male
1,day,0.03,Pit Bull Mix,Brown Brindle/White,Return_to_owner,Intact,Female
1,day,0.03,Pit Bull Mix,White/Brown Brindle,Return_to_owner,Intact,Male
1,day,0.03,Pit Bull Mix,White/Brown,Return_to_owner,Intact,Female
1,day,0.03,Labrador Retriever Mix,Sable,Transfer,Unknown,
1,day,0.03,Labrador Retriever Mix,Sable/Brown,Transfer,Unknown,
1,day,0.03,Pit Bull Mix,White/Brown,Return_to_owner,Intact,Male
6,days,0.2,Labrador Retriever Mix,Brown,,Unknown,
6,days,0.2,Chihuahua Shorthair/Pit Bull,White,,Unknown,
2,days,0.07,German Shepherd Mix,Brown/White,,Intact,Male
5,days,0.17,American Bulldog Mix,White,,Intact,Female
2,days,0.07,Labrador Retriever Mix,Brown,,Intact,Female
2,days,0.07,German Shepherd Mix,Black/White,,Intact,Male
4,days,0.13,Chihuahua Shorthair Mix,Black/Tan,,Intact,Female
4,days,0.13,Chihuahua Shorthair Mix,Black,,Intact,Female
2,days,0.07,Pit Bull Mix,Blue/White,,Intact,Male
2,days,0.07,Dachshund Mix,Tan,,Unknown,
2,days,0.07,Pit Bull Mix,Blue/White,,Unknown,
6,days,0.2,Rat Terrier Mix,White,,Intact,Female
6,days,0.2,Chihuahua Longhair Mix,Tricolor,,Intact,Male
6,days,0.2,Chihuahua Shorthair/Pit Bull,White,,Unknown,
2,days,0.07,Pit Bull Mix,Blue/White,,Unknown,
2,days,0.07,Pit Bull Mix,White/Blue,,Intact,Female
2,days,0.07,Pit Bull Mix,White/Blue,,Intact,Male
3,days,0.1,Lhasa Apso Mix,White/Brown,,Unknown,
6,days,0.2,Labrador Retriever Mix,White,,Intact,Male
5,days,0.17,Australian Cattle Dog Mix,Tricolor,,Intact,Female
2,days,0.07,Pit Bull Mix,Blue/White,,Intact,Female
2,days,0.07,Labrador Retriever Mix,Black/White,,Intact,Male
3,days,0.1,Chihuahua Shorthair Mix,Brown,,Intact,Female
6,days,0.2,Chihuahua Longhair Mix,Black/Tan,,Intact,Male
2,days,0.07,Pit Bull Mix,Fawn/White,,Intact,Male
3,days,0.1,Lhasa Apso Mix,White/Brown,,Intact,Female
5,days,0.17,Boxer Mix,Black,,Unknown,
2,days,0.07,Pit Bull Mix,Blue/White,,Intact,Female
2,days,0.07,German Shepherd Mix,Chocolate,,Intact,Female
2,days,0.07,Labrador Retriever Mix,Cream,,Intact,Female
2,days,0.07,German Shepherd Mix,Brown,,Intact,Female
5,days,0.17,Pit Bull Mix,Blue,,Intact,Female
4,days,0.13,Labrador Retriever Mix,Red,,Intact,Female
6,days,0.2,Labrador Retriever Mix,White,Transfer,Unknown,
6,days,0.2,Chihuahua Shorthair/Pit Bull,White,Transfer,Unknown,
2,days,0.07,Dachshund Mix,Black,Transfer,Unknown,
2,days,0.07,Dachshund Mix,Tan,Transfer,Unknown,
6,days,0.2,Chihuahua Shorthair/Pit Bull,Brown Brindle,Transfer,Unknown,
2,days,0.07,Labrador Retriever Mix,Brown,Transfer,Intact,Female
2,days,0.07,German Shepherd Mix,Black/White,Transfer,Intact,Male
2,days,0.07,Pit Bull Mix,Blue/White,Transfer,Intact,Male
2,days,0.07,Pit Bull Mix,Chocolate/White,Transfer,Intact,Male
2,days,0.07,Labrador Retriever Mix,Cream,Transfer,Intact,Male
2,days,0.07,Labrador Retriever Mix,Brown/White,Transfer,Intact,Male
6,days,0.2,Labrador Retriever Mix,White,Transfer,Unknown,
2,days,0.07,Pit Bull Mix,Brown Brindle/White,Transfer,Intact,Female
6,days,0.2,Rat Terrier Mix,White,Transfer,Intact,Male
2,days,0.07,Pit Bull Mix,Chocolate/White,Transfer,Intact,Female
6,days,0.2,Labrador Retriever Mix,Brown,Transfer,Unknown,
6,days,0.2,Chihuahua Longhair Mix,Tricolor,Transfer,Intact,Male
3,days,0.1,Yorkshire Terrier Mix,Tricolor,Transfer,Intact,Female
2,days,0.07,Labrador Retriever Mix,Black/White,Transfer,Intact,Male
2,days,0.07,Pit Bull Mix,White/Chocolate,Transfer,Intact,Female
2,days,0.07,Pit Bull Mix,White/Blue,Transfer,Intact,Male
2,days,0.07,Labrador Retriever Mix,Brown,Euthanasia,Intact,Male
