Pet_ageMonths,Breed_primary,Breed_secondary,Color,Outcome_Type,Outcome_Rating,Fixed,Sex
2,Yorkshire Terrier,Rat Terrier,Tricolor,Adoption,Positive,Neutered,Male
2,Yorkshire Terrier,Rat Terrier,Tricolor,Adoption,Positive,Spayed,Female
2,Yorkshire Terrier,Rat Terrier,Tricolor,Adoption,Positive,Spayed,Female
24,Yorkshire Terrier,Pomeranian,Cream/Red,Adoption,Positive,Neutered,Male
36,Yorkshire Terrier,Parson Russell Terrier,Blue/Tan,Adoption,Positive,Neutered,Male
48,Yorkshire Terrier,Norfolk Terrier,Tan,Adoption,Positive,Spayed,Female
11,Yorkshire Terrier,Miniature Schnauzer,Gray/Tan,Adoption,Positive,Neutered,Male
24,Yorkshire Terrier,Miniature Schnauzer,Brown/Gray,Adoption,Positive,Neutered,Male
24,Yorkshire Terrier,Miniature Schnauzer,Gray,Adoption,Positive,Neutered,Male
60,Yorkshire Terrier,Miniature Schnauzer,Gray,Adoption,Positive,Spayed,Female
48,Yorkshire Terrier,Miniature Poodle,Black/Brown,Adoption,Positive,Neutered,Male
36,Yorkshire Terrier,Miniature Poodle,Gray,Adoption,Positive,Neutered,Male
12,Yorkshire Terrier,Miniature Poodle,Gray,Adoption,Positive,Spayed,Female
24,Yorkshire Terrier,Miniature Poodle,Tan/Silver,Adoption,Positive,Spayed,Female
48,Yorkshire Terrier,Miniature Poodle,Black,Adoption,Positive,Spayed,Female
36,Yorkshire Terrier,Maltese,White/Gray,Adoption,Positive,Spayed,Female
2,Yorkshire Terrier,Chihuahua Shorthair,Brown,Adoption,Positive,Neutered,Male
12,Yorkshire Terrier,Chihuahua Shorthair,Black/Tan,Adoption,Positive,Neutered,Male
36,Yorkshire Terrier,Chihuahua Shorthair,Tricolor/Black,Adoption,Positive,Neutered,Male
4,Yorkshire Terrier,Chihuahua Shorthair,Tan/Silver,Adoption,Positive,Spayed,Female
2,Yorkshire Terrier,Chihuahua Shorthair,Tan/Black,Adoption,Positive,Spayed,Female
24,Yorkshire Terrier,Chihuahua Shorthair,White,Adoption,Positive,Spayed,Female
36,Yorkshire Terrier,Chihuahua Shorthair,Brown/Black,Adoption,Positive,Spayed,Female
12,Yorkshire Terrier,Chihuahua Longhair,White/Tan,Adoption,Positive,Neutered,Male
12,Yorkshire Terrier,Chihuahua Longhair,Brown/Tricolor,Adoption,Positive,Neutered,Male
12,Yorkshire Terrier,Cairn Terrier,Tan,Adoption,Positive,Neutered,Male
24,Yorkshire Terrier,Cairn Terrier,Tan/Gray,Adoption,Positive,Neutered,Male
24,Yorkshire Terrier,Cairn Terrier,Black/Brown,Adoption,Positive,Neutered,Male
48,Yorkshire Terrier,Cairn Terrier,Brown/Black,Adoption,Positive,Spayed,Female
10,Yorkshire Terrier,Bruss Griffon,Sable,Adoption,Positive,Spayed,Female
24,Yorkshire Terrier,Border Terrier,Tan/White,Adoption,Positive,Spayed,Female
12,Yorkshire Terrier Mix,,Buff/Tan,Adoption,Positive,Intact,Male
1,Yorkshire Terrier Mix,,White,Adoption,Positive,Neutered,Male
2,Yorkshire Terrier Mix,,Black/Tan,Adoption,Positive,Neutered,Male
10,Yorkshire Terrier Mix,,Tan,Adoption,Positive,Neutered,Male
12,Yorkshire Terrier Mix,,Tan,Adoption,Positive,Neutered,Male
12,Yorkshire Terrier Mix,,Brown/White,Adoption,Positive,Neutered,Male
12,Yorkshire Terrier Mix,,Tan/Black,Adoption,Positive,Neutered,Male
12,Yorkshire Terrier Mix,,Black/Tan,Adoption,Positive,Neutered,Male
12,Yorkshire Terrier Mix,,Silver/Tan,Adoption,Positive,Neutered,Male
12,Yorkshire Terrier Mix,,Black,Adoption,Positive,Neutered,Male
12,Yorkshire Terrier Mix,,Sable,Adoption,Positive,Neutered,Male
12,Yorkshire Terrier Mix,,Silver/Brown,Adoption,Positive,Neutered,Male
12,Yorkshire Terrier Mix,,Tan/Black,Adoption,Positive,Neutered,Male
12,Yorkshire Terrier Mix,,Brown/Black,Adoption,Positive,Neutered,Male
12,Yorkshire Terrier Mix,,Tan/Black,Adoption,Positive,Neutered,Male
